CV-structure	X_%PULT_Tk	B_%PULT_Tk	B_%APULT_Tk	C_%PULT_Tk	G_%ULT_Tk	G_%PULT_Tk	G_%APULT_Tk	I_%PULT_Tk	I_%APULT_Tk	N_%PULT_Tk	P_%PULT_Tk	R_%PULT_Tk	S_%PULT_Tk	S_%APULT_Tk	S_%PAPULT_Tk	V_%ULT_Tk	V_%PULT_Tk	V_%APULT_Tk	V_%PAPULT_Tk	X_nPULT_Tk	B_nPULT_Tk	B_nAPULT_Tk	C_nPULT_Tk	G_nULT_Tk	G_nPULT_Tk	G_nAPULT_Tk	I_nPULT_Tk	I_nAPULT_Tk	N_nPULT_Tk	P_nPULT_Tk	R_nPULT_Tk	S_nPULT_Tk	S_nAPULT_Tk	S_nPAPULT_Tk	V_nULT_Tk	V_nPULT_Tk	V_nAPULT_Tk	V_nPAPULT_Tk
CVVVVCCV	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	37	0	0	NA	NA	NA	NA
CVVVVCCVCVV	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7	0	0	NA	NA	NA	NA
CVVVVCV	NA	NA	NA	NA	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	0	0	100	0	NA	NA	NA	NA	0	2	0	NA	NA	NA	NA	NA	NA	NA	NA	0	0	8	0
CAVCCVCCV	NA	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
VCC	NA	NA	NA	NA	NA	NA	NA	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	41	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
VCCCV	NA	100	0	100	0	100	0	NA	NA	100	100	NA	100	0	0	0	100	0	0	NA	11	0	1407	0	858	0	NA	NA	651	126	NA	416	0	0	0	90	0	0
VCCCVCCCV	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	0	0	0	100	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10	0	0	0	2	0	0
VCCCVCCV	NA	NA	NA	NA	0	100	0	NA	NA	100	NA	NA	98.5507246376812	1.44927536231884	0	0	100	0	0	NA	NA	NA	NA	0	10	0	NA	NA	17	NA	NA	136	2	0	0	105	0	0
VCCCVCCVCCV	NA	100	0	NA	0	100	0	NA	NA	100	NA	NA	NA	NA	NA	0	88.2352941176471	11.7647058823529	0	NA	1	0	NA	0	16	0	NA	NA	6	NA	NA	NA	NA	NA	0	15	2	0
VCCCVCCVCCVCV	NA	NA	NA	NA	0	0	100	NA	NA	NA	NA	NA	NA	NA	NA	0	0	100	0	NA	NA	NA	NA	0	0	1	NA	NA	NA	NA	NA	NA	NA	NA	0	0	2	0
VCCCVCCVCV	NA	NA	NA	NA	0	100	0	NA	NA	NA	NA	NA	100	0	0	0	82.4175824175824	17.5824175824176	0	NA	NA	NA	NA	0	32	0	NA	NA	NA	NA	NA	18	0	0	0	75	16	0
VCCCVCCVCVCCV	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	0	0	0	100	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	12	0	0	0	1	0	0
VCCCVCCVCVCV	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	0	0	0	45.4545454545455	54.5454545454545	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7	0	0	0	5	6	0
VCCCVCCVCVCVCCV	NA	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	43	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
VCCCVCCVCVCVCV	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	1	0
VCCCVCCVV	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	0	0	0	100	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	0	0	0	7	0	0
VCCCVCCVVCCV	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	100	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	6	0	0
VCCCVCCVVCV	NA	NA	NA	NA	0	100	0	NA	NA	NA	NA	NA	100	0	0	0	80.9523809523809	19.047619047619	0	NA	NA	NA	NA	0	6	0	NA	NA	NA	NA	NA	82	0	0	0	17	4	0
VCCCVCCVVCVCCV	NA	NA	NA	NA	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	5	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
VCCCVCCVVCVCV	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	38.4615384615385	61.5384615384615	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	5	8	0
VCCCVCCVVCVCVCV	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	2	0
VCCCVCV	NA	100	0	NA	0	100	0	NA	NA	NA	NA	NA	95.6204379562044	4.37956204379562	0	0	90.4109589041096	9.58904109589041	0	NA	11	0	NA	0	81	0	NA	NA	NA	NA	NA	131	6	0	0	264	28	0
VCCCVCVCCV	NA	100	0	NA	0	100	0	NA	NA	NA	100	NA	100	0	0	0	75	25	0	NA	55	0	NA	0	1	0	NA	NA	NA	88	NA	10	0	0	0	36	12	0
VCCCVCVCCVCCCV	NA	NA	NA	NA	0	100	0	NA	NA	NA	NA	NA	100	0	0	NA	NA	NA	NA	NA	NA	NA	NA	0	2	0	NA	NA	NA	NA	NA	4	0	0	NA	NA	NA	NA
VCCCVCVCCVCCV	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	100	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	18	0	0
VCCCVCVCCVCV	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	80.8510638297872	19.1489361702128	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	38	9	0
VCCCVCVCCVCVCV	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	8	0
VCCCVCVCCVVCV	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	100	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	1	0	0
VCCCVCVCCVVCVCV	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	1	0
VCCCVCVCV	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	76.056338028169	23.943661971831	0	0	46.5346534653465	53.4653465346535	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	54	17	0	0	47	54	0
VCCCVCVCVCCV	NA	NA	NA	NA	0	0	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
VCCCVCVCVCV	100	NA	NA	NA	0	0	100	NA	NA	NA	NA	NA	100	0	0	0	16.6666666666667	83.3333333333333	0	1	NA	NA	NA	0	0	62	NA	NA	NA	NA	NA	7	0	0	0	2	10	0
VCCCVCVCVCVCCV	NA	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	14	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
VCCCVCVCVCVCV	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	2	0
VCCCVCVCVV	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	0	0	NA	NA	NA	NA
VCCCVCVCVVCV	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7	0	0	NA	NA	NA	NA
VCCCVCVV	NA	NA	NA	NA	0	0	100	NA	NA	NA	NA	NA	66.6666666666667	33.3333333333333	0	0	100	0	0	NA	NA	NA	NA	0	0	5	NA	NA	NA	NA	NA	8	4	0	0	4	0	0
VCCCVCVVCCV	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	0	0	0	100	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	0	0	0	2	0	0
VCCCVCVVCCVCV	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	1	0
VCCCVCVVCV	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	0	0	0	100	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	65	0	0	0	18	0	0
VCCCVCVVCVCCV	NA	NA	NA	NA	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	2	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
VCCCVCVVCVCV	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	80	20	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	4	1	0
VCCCVV	NA	NA	NA	NA	0	100	0	NA	NA	NA	NA	NA	100	0	0	0	100	0	0	NA	NA	NA	NA	0	10	0	NA	NA	NA	NA	NA	85	0	0	0	26	0	0
VCCCVVCCCV	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	22	0	0	NA	NA	NA	NA
VCCCVVCCV	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	0	0	0	100	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	21	0	0	0	19	0	0
VCCCVVCCVCCV	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	100	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	5	0	0
VCCCVVCCVCV	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	95.2380952380952	4.76190476190476	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	20	1	0
VCCCVVCV	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	0	0	0	100	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	70	0	0	0	11	0	0
VCCCVVCVCCV	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	100	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	1	0	0
VCCCVVCVCCVCV	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	1	0
VCCCVVCVCV	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	28.5714285714286	71.4285714285714	0	0	55.5555555555556	44.4444444444444	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	5	0	0	5	4	0
VCCCVVCVCVCV	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	1	0
VCCV	NA	100	0	100	0	100	0	100	0	100	NA	NA	100	0	0	0	100	0	0	NA	583	0	86	0	989	0	206	0	243	NA	NA	1478	0	0	0	242	0	0
VCCVCCCV	NA	NA	NA	NA	0	100	0	NA	NA	NA	NA	NA	100	0	0	0	100	0	0	NA	NA	NA	NA	0	8	0	NA	NA	NA	NA	NA	71	0	0	0	26	0	0
VCCVCCCVCCV	NA	NA	NA	NA	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	0	100	0	0	NA	NA	NA	NA	0	5	0	NA	NA	NA	NA	NA	NA	NA	NA	0	14	0	0
VCCVCCCVCCVCV	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	28.5714285714286	71.4285714285714	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	2	5	0
VCCVCCCVCV	NA	NA	NA	NA	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	0	78.9473684210526	21.0526315789474	0	NA	NA	NA	NA	0	7	0	NA	NA	NA	NA	NA	NA	NA	NA	0	60	16	0
VCCVCCCVCVCCV	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	100	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	3	0	0
VCCVCCCVCVCCVCV	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	2	0
VCCVCCCVCVCV	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	75	20.8333333333333	4.16666666666667	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	18	5	1
VCCVCCCVCVV	NA	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
VCCVCCCVCVVCV	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	45	0	0	NA	NA	NA	NA
VCCVCCCVV	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	0	0	0	100	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	24	0	0	0	1	0	0
VCCVCCCVVCCV	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	0	0	0	100	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	13	0	0	0	2	0	0
VCCVCCCVVCV	NA	NA	NA	NA	0	100	0	NA	NA	NA	NA	NA	100	0	0	0	81.25	18.75	0	NA	NA	NA	NA	0	17	0	NA	NA	NA	NA	NA	1	0	0	0	13	3	0
VCCVCCCVVCVCV	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	5	0
VCCVCCV	NA	100	0	100	0	98.8467874794069	1.15321252059308	100	0	NA	100	NA	98.9984591679507	1.00154083204931	0	0	96.4502164502165	3.54978354978355	0	NA	665	0	185	0	600	7	21	0	NA	7	NA	1285	13	0	0	1114	41	0
VCCVCCVCCCV	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	100	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	3	0	0
VCCVCCVCCV	NA	100	0	NA	0	100	0	NA	NA	NA	NA	NA	100	0	0	0	90.2597402597403	9.74025974025974	0	NA	69	0	NA	0	156	0	NA	NA	NA	NA	NA	147	0	0	0	278	30	0
VCCVCCVCCVCCV	NA	NA	NA	NA	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	0	95.4545454545455	4.54545454545455	0	NA	NA	NA	NA	0	6	0	NA	NA	NA	NA	NA	NA	NA	NA	0	21	1	0
VCCVCCVCCVCCVCV	NA	NA	NA	NA	0	0	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	13	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
VCCVCCVCCVCV	100	NA	NA	NA	0	60	40	NA	NA	NA	NA	NA	NA	NA	NA	0	64.8	29.6	5.6	1	NA	NA	NA	0	24	16	NA	NA	NA	NA	NA	NA	NA	NA	0	81	37	7
VCCVCCVCCVCVCCV	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	100	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	4	0	0
VCCVCCVCCVCVCV	NA	NA	NA	NA	0	0	100	NA	NA	NA	NA	NA	100	0	0	0	20	80	0	NA	NA	NA	NA	0	0	28	NA	NA	NA	NA	NA	4	0	0	0	1	4	0
VCCVCCVCCVCVV	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	100	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	3	0	0
VCCVCCVCCVV	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	20	0	0	NA	NA	NA	NA
VCCVCCVCCVVCV	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	100	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	2	0	0
VCCVCCVCV	100	NA	NA	NA	0	81.1965811965812	18.8034188034188	NA	NA	NA	NA	NA	100	0	0	0	70.5397987191217	29.3687099725526	0.0914913083257091	8	NA	NA	NA	0	95	22	NA	NA	NA	NA	NA	301	0	0	0	771	321	1
VCCVCCVCVCCV	NA	100	0	NA	0	97.7272727272727	2.27272727272727	NA	NA	NA	NA	NA	100	0	0	0	98.3333333333333	1.66666666666667	0	NA	46	0	NA	0	43	1	NA	NA	NA	NA	NA	82	0	0	0	59	1	0
VCCVCCVCVCCVCV	NA	NA	NA	NA	0	0	100	NA	NA	NA	NA	NA	NA	NA	NA	0	0	100	0	NA	NA	NA	NA	0	0	1	NA	NA	NA	NA	NA	NA	NA	NA	0	0	9	0
VCCVCCVCVCV	100	NA	NA	NA	0	29.5081967213115	70.4918032786885	NA	NA	NA	NA	NA	46	54	0	0	53.7735849056604	44.3396226415094	1.88679245283019	1	NA	NA	NA	0	36	86	NA	NA	NA	NA	NA	23	27	0	0	114	94	4
VCCVCCVCVCVCCV	NA	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
VCCVCCVCVCVCCVCV	NA	NA	NA	NA	0	0	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
VCCVCCVCVCVCV	NA	NA	NA	NA	0	0	100	NA	NA	NA	NA	NA	NA	NA	NA	0	6.25	93.75	0	NA	NA	NA	NA	0	0	8	NA	NA	NA	NA	NA	NA	NA	NA	0	1	15	0
VCCVCCVCVCVV	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11	0	0	NA	NA	NA	NA
VCCVCCVCVCVVCV	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	0	0	NA	NA	NA	NA
VCCVCCVCVV	NA	NA	NA	NA	0	100	0	NA	NA	NA	NA	NA	100	0	0	0	100	0	0	NA	NA	NA	NA	0	2	0	NA	NA	NA	NA	NA	11	0	0	0	14	0	0
VCCVCCVCVVCCV	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	0	0	NA	NA	NA	NA
VCCVCCVCVVCV	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	0	0	0	100	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	99	0	0	0	2	0	0
VCCVCCVCVVCVCV	NA	NA	NA	NA	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	0	0	100	0	NA	NA	NA	NA	0	16	0	NA	NA	NA	NA	NA	NA	NA	NA	0	0	1	0
VCCVCCVV	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	0	0	0	100	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	108	0	0	0	56	0	0
VCCVCCVVCCCV	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	100	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	1	0	0
VCCVCCVVCCV	NA	NA	NA	NA	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	0	86.6666666666667	13.3333333333333	0	NA	NA	NA	NA	0	5	0	NA	NA	NA	NA	NA	NA	NA	NA	0	26	4	0
VCCVCCVVCCVCV	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	2	0
VCCVCCVVCV	NA	NA	NA	NA	0	100	0	NA	NA	NA	NA	NA	100	0	0	0	91.3461538461538	8.65384615384615	0	NA	NA	NA	NA	0	47	0	NA	NA	NA	NA	NA	176	0	0	0	190	18	0
VCCVCCVVCVCCV	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	0	0	0	100	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11	0	0	0	6	0	0
VCCVCCVVCVCCVCV	NA	NA	NA	NA	0	0	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
VCCVCCVVCVCV	NA	NA	NA	NA	0	66.6666666666667	33.3333333333333	NA	NA	NA	NA	NA	23.0769230769231	76.9230769230769	0	0	0	100	0	NA	NA	NA	NA	0	8	4	NA	NA	NA	NA	NA	3	10	0	0	0	20	0
VCCVCCVVV	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	0	0	NA	NA	NA	NA
VCCVCV	NA	100	0	100	0	65.531475748194	34.468524251806	22.4806201550388	77.5193798449613	100	NA	NA	38.7769784172662	61.2230215827338	0	0	60.985031385804	39.014968614196	0	NA	1564	0	510	0	635	334	58	200	119	NA	NA	539	851	0	0	1263	808	0
VCCVCVCCCV	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	0	0	0	100	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	0	0	0	3	0	0
VCCVCVCCCVCVVCV	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	0	0	NA	NA	NA	NA
VCCVCVCCCVV	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	0	0	0	100	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	15	0	0	0	4	0	0
VCCVCVCCCVVCCV	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	100	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	1	0	0
VCCVCVCCCVVCCVCV	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	1	0
VCCVCVCCCVVCV	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	40	60	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	2	3	0
VCCVCVCCCVVCVCV	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	0	0	0	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	0	0	0	0	3	0
VCCVCVCCV	NA	NA	NA	NA	0	88.8888888888889	11.1111111111111	100	0	NA	NA	NA	93.0327868852459	6.9672131147541	0	0	92.7461139896373	7.25388601036269	0	NA	NA	NA	NA	0	32	4	27	0	NA	NA	NA	227	17	0	0	179	14	0
VCCVCVCCVCCV	NA	NA	NA	NA	0	100	0	NA	NA	NA	NA	NA	100	0	0	0	66.6666666666667	33.3333333333333	0	NA	NA	NA	NA	0	33	0	NA	NA	NA	NA	NA	6	0	0	0	6	3	0
VCCVCVCCVCCVCCVCV	NA	NA	NA	NA	0	0	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
VCCVCVCCVCCVV	NA	NA	NA	NA	NA	NA	NA	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
VCCVCVCCVCV	NA	100	0	NA	0	93.9393939393939	6.06060606060606	NA	NA	NA	NA	NA	100	0	0	0	69.7368421052632	30.2631578947368	0	NA	50	0	NA	0	31	2	NA	NA	NA	NA	NA	24	0	0	0	53	23	0
VCCVCVCCVCVCCV	NA	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	100	0	0	NA	7	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	2	0	0
