CV-structure	S6_%PULT_Tk	S6_%APULT_Tk	S6_%PAPULT_Tk	S6_nPULT_Tk	S6_nAPULT_Tk	S6_nPAPULT_Tk
CVVCVCCVCVCV	0	100	0	0	1	0
VCCCVCCVCVCVCCV	100	0	0	43	0	0
VCCCVCCVCVCVCV	0	100	0	0	1	0
VCCCVCCVVCVCVCV	0	100	0	0	2	0
VCCCVCVCCVCVCV	0	100	0	0	8	0
VCCCVCVCCVVCVCV	0	100	0	0	1	0
VCCCVCVCVCVCCV	100	0	0	14	0	0
VCCCVCVCVCVCV	0	100	0	0	2	0
VCCCVCVVCCVCV	0	100	0	0	1	0
VCCCVCVVCVCV	0	100	0	0	1	0
VCCCVVCVCVCV	0	100	0	0	1	0
VCCVCCCVCVCCVCV	0	100	0	0	2	0
VCCVCCVCCV	100	0	0	1	0	0
VCCVCCVCCVCCVCV	0	100	0	0	13	0
VCCVCCVCCVCVCCV	100	0	0	4	0	0
VCCVCCVCCVCVCV	13.51351351	86.48648649	0	5	32	0
VCCVCCVCCVCVV	100	0	0	3	0	0
VCCVCCVCVCCVCV	0	100	0	0	10	0
VCCVCCVCVCVCCV	100	0	0	8	0	0
VCCVCCVCVCVCV	4.166666667	95.83333333	0	1	23	0
VCCVCCVCVCVV	100	0	0	11	0	0
VCCVCCVCVCVVCV	100	0	0	5	0	0
VCCVCCVCVVCVCV	94.11764706	5.882352941	0	16	1	0
VCCVCCVVCVCCVCV	0	100	0	0	1	0
VCCVCCVVCVCV	0	100	0	0	14	0
VCCVCVCCCVCVVCV	100	0	0	6	0	0
VCCVCVCCCVVCCVCV	0	100	0	0	1	0
VCCVCVCCCVVCVCV	62.5	37.5	0	5	3	0
VCCVCVCCVCVCCV	100	0	0	8	0	0
VCCVCVCCVCVCV	44.44444444	55.55555556	0	8	10	0
VCCVCVCCVCVVCV	100	0	0	8	0	0
VCCVCVCCVVCVCV	0	100	0	0	7	0
VCCVCVCVCCVCV	0	100	0	0	13	0
VCCVCVCVCVCCV	100	0	0	52	0	0
VCCVCVCVCVCV	8.108108108	89.18918919	2.702702703	3	33	1
VCCVCVCVCVVCV	100	0	0	21	0	0
VCCVCVCVVCV	93.75	0	6.25	15	0	1
VCCVCVCVVCVCV	0	100	0	0	2	0
VCCVCVVCVCCVCV	0	100	0	0	1	0
VCCVCVVCVCVCCV	100	0	0	28	0	0
VCCVCVVVCVCV	0	100	0	0	2	0
VCVCCVCVCVCV	0	100	0	0	2	0
VCVCCVCVCVVCV	100	0	0	10	0	0
VCVCVCCVCCVCV	0	100	0	0	4	0
VCVCVCCVCVCCV	100	0	0	22	0	0
VCVCVCCVCVCV	0	100	0	0	2	0
VCVCVCCVCVVCV	100	0	0	5	0	0
VCVCVCVCCVCV	0	100	0	0	1	0
VCVCVCVCVCCV	100	0	0	1	0	0
VCVCVCVCVCV	50	50	0	1	1	0
VCVCVCVCVVCV	100	0	0	6	0	0
VCVCVVCCVCCV	100	0	0	5	0	0
VCVCVVCVCV	100	0	0	1	0	0
VCVVCVCVCVVCV	100	0	0	11	0	0
VVCVCCVCCVCV	0	100	0	0	1	0
VVCVCVCVCVCCV	100	0	0	10	0	0
VVCVCVVCVCV	0	100	0	0	1	0
