CV-structure	S4_%ULT_Ty	S4_%PULT_Ty	S4_%APULT_Ty	S4_%PAPULT_Ty	S4_nULT_Ty	S4_nPULT_Ty	S4_nAPULT_Ty	S4_nPAPULT_Ty
CCVCCVCCV	0	61.9047619	38.0952381	0	0	13	8	0
CCVCCVCCVCCV	0	100	0	0	0	13	0	0
CCVCCVCCVCV	0	36.66666667	56.66666667	6.666666667	0	22	34	4
CCVCCVCCVV	0	100	0	0	0	1	0	0
CCVCCVCCVVCV	0	88.88888889	11.11111111	0	0	8	1	0
CCVCCVCV	0	50	50	0	0	4	4	0
CCVCCVCVCCV	0	97.36842105	2.631578947	0	0	37	1	0
CCVCCVCVCCVV	0	100	0	0	0	1	0	0
CCVCCVCVCV	0	55.85585586	44.14414414	0	0	62	49	0
CCVCCVCVV	0	66.66666667	33.33333333	0	0	6	3	0
CCVCCVCVVCV	0	100	0	0	0	2	0	0
CCVCCVVCCV	0	100	0	0	0	3	0	0
CCVCCVVCCVCV	0	0	100	0	0	0	2	0
CCVCCVVCV	0	50	50	0	0	1	1	0
CCVCCVVCVCCV	0	100	0	0	0	4	0	0
CCVCCVVCVCV	0	43.75	56.25	0	0	7	9	0
CCVCCVVCVCVV	0	100	0	0	0	1	0	0
CCVCCVVCVV	0	100	0	0	0	1	0	0
CCVCCVVCVVV	0	100	0	0	0	1	0	0
CCVCCVVVCV	0	0	100	0	0	0	2	0
CCVCV	0	100	0	0	0	2	0	0
CCVCVCCCVCV	0	100	0	0	0	1	0	0
CCVCVCCCVVCV	0	100	0	0	0	2	0	0
CCVCVCCV	0	100	0	0	0	4	0	0
CCVCVCCVCCV	0	78.78787879	21.21212121	0	0	26	7	0
CCVCVCCVCV	0	53.96825397	46.03174603	0	0	68	58	0
CCVCVCCVCVV	0	100	0	0	0	1	0	0
CCVCVCCVVCCV	0	100	0	0	0	4	0	0
CCVCVCCVVCV	0	95.65217391	4.347826087	0	0	22	1	0
CCVCVCVCCCV	0	100	0	0	0	1	0	0
CCVCVCVCCV	0	94.28571429	5.714285714	0	0	66	4	0
CCVCVCVCCVV	0	100	0	0	0	1	0	0
CCVCVCVCV	0	67.68292683	29.26829268	3.048780488	0	111	48	5
CCVCVCVCVCV	0	100	0	0	0	1	0	0
CCVCVCVV	0	100	0	0	0	6	0	0
CCVCVCVVCCV	0	100	0	0	0	2	0	0
CCVCVCVVCV	0	100	0	0	0	18	0	0
CCVCVCVVVCV	0	100	0	0	0	1	0	0
CCVCVVCCVCCV	0	100	0	0	0	2	0	0
CCVCVVCCVCV	0	83.33333333	16.66666667	0	0	5	1	0
CCVCVVCV	0	100	0	0	0	2	0	0
CCVCVVCVCV	0	40	60	0	0	2	3	0
CCVCVVCVV	0	100	0	0	0	1	0	0
CCVCVVCVVCV	0	100	0	0	0	5	0	0
CCVVCCCVCV	0	100	0	0	0	2	0	0
CCVVCCV	0	100	0	0	0	1	0	0
CCVVCCVCCV	0	100	0	0	0	1	0	0
CCVVCCVCV	0	0	100	0	0	0	5	0
CCVVCCVCVCCV	0	50	50	0	0	1	1	0
CCVVCCVCVCV	0	50	50	0	0	3	3	0
CCVVCCVCVV	0	100	0	0	0	2	0	0
CCVVCCVVCVCCV	0	100	0	0	0	2	0	0
CCVVCCVVCVCV	0	100	0	0	0	1	0	0
CCVVCV	0	100	0	0	0	1	0	0
CCVVCVCCCVVCV	0	0	50	50	0	0	1	1
CCVVCVCCV	0	50	50	0	0	2	2	0
CCVVCVCCVCV	0	0	83.33333333	16.66666667	0	0	5	1
CCVVCVCV	0	70	30	0	0	7	3	0
CCVVCVCVCCV	0	100	0	0	0	7	0	0
CCVVCVCVCV	0	42.10526316	57.89473684	0	0	8	11	0
CCVVCVCVV	0	100	0	0	0	1	0	0
CCVVCVCVVCV	0	100	0	0	0	2	0	0
CCVVCVVCV	0	100	0	0	0	2	0	0
CCVVCVVCVCV	0	0	100	0	0	0	1	0
CCVVVCCVCCV	0	100	0	0	0	1	0	0
CCVVVCCVCV	0	50	50	0	0	3	3	0
CCVVVCCVCVCV	0	100	0	0	0	1	0	0
CCVVVCCVCVV	0	100	0	0	0	2	0	0
CCVVVCV	0	100	0	0	0	1	0	0
CVCCCVCCCVCV	0	100	0	0	0	1	0	0
CVCCCVCCCVVCV	0	0	100	0	0	0	1	0
CVCCCVCCV	0	100	0	0	0	4	0	0
CVCCCVCCVCCV	0	90.90909091	9.090909091	0	0	20	2	0
CVCCCVCCVCV	0	57.89473684	42.10526316	0	0	33	24	0
CVCCCVCCVV	0	100	0	0	0	1	0	0
CVCCCVCCVVCCV	0	100	0	0	0	3	0	0
CVCCCVCCVVCV	0	100	0	0	0	11	0	0
CVCCCVCV	0	100	0	0	0	1	0	0
CVCCCVCVCCV	0	92.85714286	7.142857143	0	0	26	2	0
CVCCCVCVCV	0	63.93442623	32.78688525	3.278688525	0	39	20	2
CVCCCVCVCVCV	0	100	0	0	0	1	0	0
CVCCCVCVV	0	100	0	0	0	5	0	0
CVCCCVCVVCCV	0	100	0	0	0	3	0	0
CVCCCVCVVCV	0	94.11764706	5.882352941	0	0	16	1	0
CVCCCVV	0	100	0	0	0	1	0	0
CVCCCVVCCV	0	100	0	0	0	19	0	0
CVCCCVVCCVCCV	0	66.66666667	33.33333333	0	0	2	1	0
CVCCCVVCCVCV	0	66.66666667	33.33333333	0	0	2	1	0
CVCCCVVCCVV	0	100	0	0	0	1	0	0
CVCCCVVCV	0	100	0	0	0	7	0	0
CVCCCVVCVCCV	0	75	25	0	0	3	1	0
CVCCCVVCVCV	0	50	50	0	0	4	4	0
CVCCCVVVCV	0	100	0	0	0	1	0	0
CVCCV	0	100	0	0	0	10	0	0
CVCCVCCCV	0	100	0	0	0	1	0	0
CVCCVCCCVCCV	0	100	0	0	0	5	0	0
CVCCVCCCVCV	0	66.66666667	33.33333333	0	0	6	3	0
CVCCVCCCVV	0	100	0	0	0	1	0	0
CVCCVCCCVVCV	0	57.14285714	42.85714286	0	0	4	3	0
CVCCVCCV	0	100	0	0	0	42	0	0
CVCCVCCVCCCV	0	100	0	0	0	4	0	0
CVCCVCCVCCV	0	73.7704918	26.2295082	0	0	90	32	0
CVCCVCCVCCVV	0	100	0	0	0	3	0	0
CVCCVCCVCV	0	51.33819951	47.93187348	0.729927007	0	211	197	3
CVCCVCCVCVCCV	0	100	0	0	0	1	0	0
CVCCVCCVCVCV	0	100	0	0	0	3	0	0
CVCCVCCVCVV	0	100	0	0	0	3	0	0
CVCCVCCVV	0	100	0	0	0	11	0	0
CVCCVCCVVCCV	0	83.87096774	16.12903226	0	0	26	5	0
CVCCVCCVVCV	0	85.48387097	14.51612903	0	0	53	9	0
CVCCVCCVVVCV	0	100	0	0	0	1	0	0
CVCCVCV	0	100	0	0	0	22	0	0
CVCCVCVCCCV	0	100	0	0	0	2	0	0
CVCCVCVCCV	0	94.86166008	5.138339921	0	0	240	13	0
CVCCVCVCCVCCVV	0	100	0	0	0	1	0	0
CVCCVCVCCVCV	0	100	0	0	0	3	0	0
CVCCVCVCCVV	0	100	0	0	0	6	0	0
CVCCVCVCV	0	61.13821138	36.74796748	2.113821138	0	376	226	13
CVCCVCVCVCCV	0	100	0	0	0	1	0	0
CVCCVCVCVCV	0	100	0	0	0	1	0	0
CVCCVCVCVV	0	100	0	0	0	11	0	0
CVCCVCVV	0	100	0	0	0	50	0	0
CVCCVCVVCCCV	0	100	0	0	0	1	0	0
CVCCVCVVCCV	0	100	0	0	0	6	0	0
CVCCVCVVCV	0	96.22641509	3.773584906	0	0	51	2	0
CVCCVCVVCVV	0	100	0	0	0	3	0	0
CVCCVCVVV	0	100	0	0	0	5	0	0
CVCCVVCCV	0	100	0	0	0	9	0	0
CVCCVVCCVCCV	0	52.94117647	47.05882353	0	0	9	8	0
CVCCVVCCVCV	0	22.22222222	75	2.777777778	0	8	27	1
CVCCVVCCVV	0	100	0	0	0	1	0	0
CVCCVVCCVVCV	0	100	0	0	0	3	0	0
CVCCVVCCVVV	0	100	0	0	0	1	0	0
CVCCVVCV	0	87.5	12.5	0	0	14	2	0
CVCCVVCVCCV	0	82.60869565	17.39130435	0	0	19	4	0
CVCCVVCVCCVCV	0	100	0	0	0	1	0	0
CVCCVVCVCV	0	48.21428571	50.89285714	0.892857143	0	54	57	1
CVCCVVCVCVV	0	100	0	0	0	1	0	0
CVCCVVCVV	0	100	0	0	0	5	0	0
CVCCVVCVVCV	0	100	0	0	0	7	0	0
CVCCVVVCV	0	100	0	0	0	2	0	0
CVCV	0	100	0	0	0	6	0	0
CVCVCCCV	0	100	0	0	0	1	0	0
CVCVCCCVCCCV	0	100	0	0	0	2	0	0
CVCVCCCVCCV	0	85.71428571	14.28571429	0	0	6	1	0
CVCVCCCVCV	0	65	35	0	0	13	7	0
CVCVCCCVVCCV	0	100	0	0	0	5	0	0
CVCVCCCVVCV	0	80	20	0	0	4	1	0
CVCVCCV	0	100	0	0	0	30	0	0
CVCVCCVCCCV	0	83.33333333	16.66666667	0	0	5	1	0
CVCVCCVCCV	0	79.6875	20.3125	0	0	102	26	0
CVCVCCVCCVCCV	0	100	0	0	0	1	0	0
CVCVCCVCCVV	0	100	0	0	0	1	0	0
CVCVCCVCV	0	49.35064935	50.64935065	0	0	190	195	0
CVCVCCVCVCCV	0	100	0	0	0	3	0	0
CVCVCCVCVCV	0	100	0	0	0	1	0	0
CVCVCCVCVV	0	100	0	0	0	8	0	0
CVCVCCVV	0	100	0	0	0	14	0	0
CVCVCCVVCCV	0	100	0	0	0	17	0	0
CVCVCCVVCV	0	88.23529412	11.76470588	0	0	60	8	0
CVCVCCVVV	0	50	50	0	0	3	3	0
CVCVCV	0	100	0	0	0	17	0	0
CVCVCVCC	0	0	0	100	0	0	0	1
CVCVCVCCCV	0	83.33333333	16.66666667	0	0	5	1	0
CVCVCVCCV	0	90.57377049	9.016393443	0.409836066	0	221	22	1
CVCVCVCCVCV	0	100	0	0	0	1	0	0
CVCVCVCCVV	0	100	0	0	0	8	0	0
CVCVCVCV	0	67.19745223	30.57324841	2.229299363	0	422	192	14
CVCVCVCVCCV	0	100	0	0	0	2	0	0
CVCVCVCVCVCCVV	0	100	0	0	0	1	0	0
CVCVCVCVV	0	100	0	0	0	12	0	0
CVCVCVV	4.347826087	86.95652174	8.695652174	0	1	20	2	0
CVCVCVVCCV	0	100	0	0	0	11	0	0
CVCVCVVCV	0	97.10144928	2.898550725	0	0	67	2	0
CVCVCVVV	0	100	0	0	0	4	0	0
CVCVV	0	100	0	0	0	1	0	0
CVCVVCCV	0	100	0	0	0	1	0	0
CVCVVCCVCCV	0	100	0	0	0	1	0	0
CVCVVCCVCV	0	20	80	0	0	1	4	0
CVCVVCV	0	87.5	12.5	0	0	14	2	0
CVCVVCVCCV	0	83.33333333	16.66666667	0	0	5	1	0
CVCVVCVCV	0	55.55555556	42.22222222	2.222222222	0	25	19	1
CVCVVCVCVV	0	100	0	0	0	2	0	0
CVCVVCVV	0	100	0	0	0	1	0	0
CVCVVCVVCV	0	100	0	0	0	6	0	0
CVCVVVCV	0	100	0	0	0	1	0	0
CVCVVVCVCV	0	0	100	0	0	0	1	0
CVVCCCV	0	100	0	0	0	1	0	0
CVVCCCVCCV	0	100	0	0	0	2	0	0
CVVCCCVCCVCV	0	0	100	0	0	0	2	0
CVVCCCVCV	0	85.71428571	14.28571429	0	0	6	1	0
CVVCCCVCVV	0	100	0	0	0	1	0	0
CVVCCCVV	0	100	0	0	0	1	0	0
CVVCCV	0	100	0	0	0	1	0	0
CVVCCVCCV	0	100	0	0	0	13	0	0
CVVCCVCCVCV	0	35.71428571	64.28571429	0	0	5	9	0
CVVCCVCCVVCCV	0	100	0	0	0	2	0	0
CVVCCVCV	0	92	8	0	0	23	2	0
CVVCCVCVCCV	0	100	0	0	0	12	0	0
CVVCCVCVCCVV	0	100	0	0	0	1	0	0
CVVCCVCVCV	0	51.28205128	43.58974359	5.128205128	0	20	17	2
CVVCCVCVV	0	100	0	0	0	3	0	0
CVVCCVCVVCV	0	100	0	0	0	4	0	0
CVVCCVCVVV	0	100	0	0	0	2	0	0
CVVCCVVCCV	0	100	0	0	0	4	0	0
CVVCCVVCV	0	42.85714286	57.14285714	0	0	3	4	0
CVVCCVVV	0	100	0	0	0	1	0	0
CVVCVCCV	0	94.11764706	5.882352941	0	0	16	1	0
CVVCVCCVCCV	0	100	0	0	0	2	0	0
CVVCVCCVCV	0	36.36363636	63.63636364	0	0	8	14	0
CVVCVCCVCVCV	0	100	0	0	0	2	0	0
CVVCVCCVV	0	100	0	0	0	2	0	0
CVVCVCCVVCCV	0	100	0	0	0	2	0	0
CVVCVCCVVCV	0	0	0	100	0	0	0	1
CVVCVCV	0	70	30	0	0	14	6	0
CVVCVCVCCV	0	93.75	6.25	0	0	15	1	0
CVVCVCVCV	0	36.58536585	56.09756098	7.317073171	0	15	23	3
CVVCVCVV	66.66666667	33.33333333	0	0	2	1	0	0
CVVCVCVVCV	0	100	0	0	0	4	0	0
CVVCVV	0	100	0	0	0	4	0	0
CVVCVVCV	0	100	0	0	0	3	0	0
CVVCVVCVCV	0	0	100	0	0	0	1	0
CVVVCVCV	0	100	0	0	0	3	0	0
CVVVVCCV	0	100	0	0	0	1	0	0
VCCCVCCVCCV	0	92.85714286	7.142857143	0	0	13	1	0
VCCCVCCVCV	0	76.92307692	23.07692308	0	0	40	12	0
VCCCVCCVVCCV	0	100	0	0	0	2	0	0
VCCCVCCVVCV	0	88.88888889	11.11111111	0	0	16	2	0
VCCCVCVCCV	0	74.07407407	25.92592593	0	0	20	7	0
VCCCVCVCV	0	60.46511628	39.53488372	0	0	26	17	0
VCCCVCVV	0	50	50	0	0	3	3	0
VCCCVCVVCCV	0	100	0	0	0	2	0	0
VCCCVCVVCV	0	100	0	0	0	16	0	0
VCCCVVCCV	0	100	0	0	0	2	0	0
VCCCVVCCVCCV	0	100	0	0	0	3	0	0
VCCCVVCCVCV	0	88.88888889	11.11111111	0	0	8	1	0
VCCCVVCV	0	100	0	0	0	2	0	0
VCCCVVCVCCV	0	100	0	0	0	1	0	0
VCCCVVCVCV	0	75	25	0	0	3	1	0
VCCVCCCV	0	100	0	0	0	2	0	0
VCCVCCCVCCV	0	100	0	0	0	12	0	0
VCCVCCCVCV	0	70.83333333	29.16666667	0	0	17	7	0
VCCVCCCVV	0	100	0	0	0	1	0	0
VCCVCCCVVCCV	0	100	0	0	0	4	0	0
VCCVCCCVVCV	0	84.61538462	15.38461538	0	0	11	2	0
VCCVCCV	0	100	0	0	0	8	0	0
VCCVCCVCCCV	0	100	0	0	0	1	0	0
VCCVCCVCCV	0	89.14285714	10.85714286	0	0	156	19	0
VCCVCCVCCVCCV	0	100	0	0	0	1	0	0
VCCVCCVCCVV	0	100	0	0	0	2	0	0
VCCVCCVCV	0	73.05555556	26.66666667	0.277777778	0	263	96	1
VCCVCCVCVCCV	0	100	0	0	0	5	0	0
VCCVCCVCVV	0	100	0	0	0	6	0	0
VCCVCCVV	0	100	0	0	0	8	0	0
VCCVCCVVCCV	0	86.36363636	13.63636364	0	0	19	3	0
VCCVCCVVCV	0	90.29126214	9.708737864	0	0	93	10	0
VCCVCCVVV	0	100	0	0	0	1	0	0
VCCVCVCCCV	0	100	0	0	0	3	0	0
VCCVCVCCCVV	0	100	0	0	0	2	0	0
VCCVCVCCV	0	93.5483871	6.451612903	0	0	116	8	0
VCCVCVCCVCV	0	100	0	0	0	1	0	0
VCCVCVCCVCVCCV	0	100	0	0	0	1	0	0
VCCVCVCCVV	0	100	0	0	0	5	0	0
VCCVCVCCVVCCV	0	100	0	0	0	1	0	0
VCCVCVCV	0	70.12578616	28.6163522	1.257861635	0	223	91	4
VCCVCVCVCCV	0	100	0	0	0	7	0	0
VCCVCVCVV	0	100	0	0	0	1	0	0
VCCVCVV	0	57.14285714	42.85714286	0	0	4	3	0
VCCVCVVCCV	0	100	0	0	0	16	0	0
VCCVCVVCV	0	96.15384615	3.846153846	0	0	50	2	0
VCCVCVVVCV	0	100	0	0	0	3	0	0
VCCVVCCCV	0	0	100	0	0	0	1	0
VCCVVCCV	0	100	0	0	0	10	0	0
VCCVVCCVCCV	0	66.66666667	33.33333333	0	0	8	4	0
VCCVVCCVCV	0	91.17647059	8.823529412	0	0	31	3	0
VCCVVCCVCVV	0	100	0	0	0	2	0	0
VCCVVCCVV	0	100	0	0	0	1	0	0
VCCVVCCVVCV	0	100	0	0	0	2	0	0
VCCVVCV	0	86.95652174	13.04347826	0	0	20	3	0
VCCVVCVCCV	0	77.77777778	22.22222222	0	0	7	2	0
VCCVVCVCV	0	63.15789474	36.84210526	0	0	12	7	0
VCCVVV	0	100	0	0	0	2	0	0
VCCVVVCCV	0	100	0	0	0	2	0	0
VCCVVVCV	0	66.66666667	33.33333333	0	0	8	4	0
VCCVVVCVCCV	0	100	0	0	0	1	0	0
VCCVVVCVCV	0	100	0	0	0	1	0	0
VCVCCCVCCV	0	50	50	0	0	1	1	0
VCVCCCVCV	0	62.5	37.5	0	0	5	3	0
VCVCCCVV	0	100	0	0	0	1	0	0
VCVCCV	0	100	0	0	0	1	0	0
VCVCCVCCV	0	75.86206897	24.13793103	0	0	22	7	0
VCVCCVCV	0	44.30379747	55.69620253	0	0	35	44	0
VCVCCVCVV	0	100	0	0	0	1	0	0
VCVCCVV	0	100	0	0	0	4	0	0
VCVCCVVCV	0	100	0	0	0	6	0	0
VCVCV	0	100	0	0	0	1	0	0
VCVCVCCV	0	97.56097561	2.43902439	0	0	40	1	0
VCVCVCCVCV	0	100	0	0	0	2	0	0
VCVCVCV	0	66.94214876	28.09917355	4.958677686	0	81	34	6
VCVCVCVCCV	0	100	0	0	0	3	0	0
VCVCVCVV	0	100	0	0	0	5	0	0
VCVCVV	0	100	0	0	0	5	0	0
VCVCVVCCV	0	100	0	0	0	5	0	0
VCVCVVCV	0	95.12195122	4.87804878	0	0	39	2	0
VCVCVVV	0	100	0	0	0	2	0	0
VCVVCCV	0	100	0	0	0	2	0	0
VCVVCCVCCV	0	100	0	0	0	2	0	0
VCVVCCVCV	0	100	0	0	0	7	0	0
VCVVCV	0	75	25	0	0	6	2	0
VCVVCVCCV	0	100	0	0	0	1	0	0
VCVVCVCCVV	0	100	0	0	0	2	0	0
VCVVCVCV	0	62.5	37.5	0	0	10	6	0
VVCCCVCVVCV	0	100	0	0	0	4	0	0
VVCCVCV	0	100	0	0	0	1	0	0
VVCVCCCVCV	0	100	0	0	0	2	0	0
VVCVCCVCCV	0	50	50	0	0	1	1	0
VVCVCCVCV	0	45.45454545	54.54545455	0	0	5	6	0
VVCVCVCCCV	0	100	0	0	0	1	0	0
VVCVCVCCV	0	100	0	0	0	3	0	0
VVCVCVCV	0	100	0	0	0	2	0	0
VVCVCVV	0	100	0	0	0	4	0	0
VVCVCVVCV	0	100	0	0	0	1	0	0
VVCVV	0	0	100	0	0	0	4	0
VVVCVCCV	0	100	0	0	0	12	0	0
VVVCVCV	0	60	40	0	0	6	4	0
