3lett	%ULT_Ty	%PULT_Ty	%APULT_Ty	%PAPULT_Ty	nULT_Ty	nPULT_Ty	nAPULT_Ty	nPAPULT_Ty
sen	7.272727273	76.36363636	16.36363636	NA	4	42	9	NA
sep	4.347826087	86.95652174	8.695652174	NA	1	20	2	NA
seq	NA	100	NA	NA	NA	2	NA	NA
ser	7.692307692	78.46153846	13.84615385	NA	5	51	9	NA
ses	25	75	NA	NA	1	3	NA	NA
set	NA	88.23529412	11.76470588	NA	NA	15	2	NA
sev	NA	66.66666667	33.33333333	NA	NA	4	2	NA
sez	NA	100	NA	NA	NA	2	NA	NA
sfe	NA	100	NA	NA	NA	2	NA	NA
sfi	7.407407407	74.07407407	18.51851852	NA	2	20	5	NA
sfo	3.448275862	75.86206897	20.68965517	NA	1	22	6	NA
sfr	14.28571429	64.28571429	21.42857143	NA	2	9	3	NA
sfu	11.11111111	83.33333333	5.555555556	NA	2	15	1	NA
sga	14.28571429	85.71428571	NA	NA	1	6	NA	NA
sgh	NA	66.66666667	33.33333333	NA	NA	4	2	NA
sgr	NA	72.72727273	27.27272727	NA	NA	8	3	NA
sgu	NA	100	NA	NA	NA	2	NA	NA
sia	NA	100	NA	NA	NA	2	NA	NA
sib	25	50	25	NA	1	2	1	NA
sic	18.18181818	63.63636364	18.18181818	NA	2	7	2	NA
sie	NA	100	NA	NA	NA	2	NA	NA
sig	4.761904762	80.95238095	9.523809524	4.761904762	1	17	2	1
sil	NA	66.66666667	33.33333333	NA	NA	6	3	NA
sim	NA	21.42857143	78.57142857	NA	NA	3	11	NA
sin	NA	68	32	NA	NA	17	8	NA
sir	NA	100	NA	NA	NA	4	NA	NA
sis	16.66666667	72.22222222	11.11111111	NA	3	13	2	NA
sit	NA	100	NA	NA	NA	6	NA	NA
sla	NA	100	NA	NA	NA	2	NA	NA
sle	NA	100	NA	NA	NA	3	NA	NA
sli	NA	100	NA	NA	NA	1	NA	NA
slo	NA	100	NA	NA	NA	1	NA	NA
slu	NA	100	NA	NA	NA	1	NA	NA
sma	28.57142857	57.14285714	14.28571429	NA	2	4	1	NA
sme	NA	63.15789474	36.84210526	NA	NA	12	7	NA
smo	NA	100	NA	NA	NA	6	NA	NA
smu	NA	25	75	NA	NA	1	3	NA
sne	NA	100	NA	NA	NA	2	NA	NA
soa	NA	100	NA	NA	NA	1	NA	NA
soc	8.333333333	83.33333333	8.333333333	NA	1	10	1	NA
sod	NA	100	NA	NA	NA	13	NA	NA
sof	12.24489796	69.3877551	18.36734694	NA	6	34	9	NA
sog	4.545454545	86.36363636	9.090909091	NA	1	19	2	NA
sol	1.612903226	72.58064516	25.80645161	NA	1	45	16	NA
som	NA	88.88888889	11.11111111	NA	NA	16	2	NA
son	NA	92.85714286	7.142857143	NA	NA	13	1	NA
sop	NA	75	25	NA	NA	18	6	NA
sor	3.278688525	75.40983607	21.31147541	NA	2	46	13	NA
sos	2.898550725	75.36231884	21.73913043	NA	2	52	15	NA
sot	4.87804878	60.97560976	34.14634146	NA	2	25	14	NA
sov	NA	50	50	NA	NA	5	5	NA
spa	8.661417323	74.01574803	17.32283465	NA	11	94	22	NA
spe	4.8	74.4	20.8	NA	6	93	26	NA
spi	4.761904762	70.47619048	23.80952381	0.952380952	5	74	25	1
spl	NA	46.15384615	53.84615385	NA	NA	6	7	NA
spo	5.617977528	73.03370787	21.34831461	NA	5	65	19	NA
spr	10	80	10	NA	3	24	3	NA
spu	13.63636364	72.72727273	13.63636364	NA	3	16	3	NA
squ	8.333333333	91.66666667	NA	NA	1	11	NA	NA
sss	NA	100	NA	NA	NA	1	NA	NA
sst	NA	100	NA	NA	NA	1	NA	NA
sta	5.426356589	80.62015504	13.95348837	NA	7	104	18	NA
ste	NA	76.74418605	23.25581395	NA	NA	33	10	NA
sti	5.555555556	77.77777778	16.66666667	NA	1	14	3	NA
sto	5.263157895	68.42105263	26.31578947	NA	1	13	5	NA
str	3.676470588	75.73529412	20.58823529	NA	5	103	28	NA
stu	6.666666667	78.33333333	15	NA	4	47	9	NA
sub	9.090909091	27.27272727	63.63636364	NA	1	3	7	NA
suc	2.941176471	79.41176471	17.64705882	NA	1	27	6	NA
sud	NA	73.68421053	26.31578947	NA	NA	14	5	NA
suf	NA	100	NA	NA	NA	2	NA	NA
sug	7.142857143	85.71428571	7.142857143	NA	1	12	1	NA
sul	NA	100	NA	NA	NA	1	NA	NA
suo	16	76	8	NA	4	19	2	NA
sup	5.263157895	76.31578947	18.42105263	NA	2	29	7	NA
sus	5.882352941	64.70588235	29.41176471	NA	1	11	5	NA
sva	20	70	10	NA	2	7	1	NA
sve	9.523809524	71.42857143	19.04761905	NA	4	30	8	NA
svi	13.33333333	66.66666667	20	NA	2	10	3	NA
svo	14.28571429	57.14285714	28.57142857	NA	3	12	6	NA
svu	16.66666667	66.66666667	16.66666667	NA	1	4	1	NA
tab	NA	100	NA	NA	NA	3	NA	NA
tac	NA	76.92307692	23.07692308	NA	NA	10	3	NA
tag	7.142857143	75	17.85714286	NA	2	21	5	NA
tal	NA	100	NA	NA	NA	8	NA	NA
tam	NA	80	20	NA	NA	4	1	NA
tan	NA	70	30	NA	NA	7	3	NA
tap	NA	91.66666667	8.333333333	NA	NA	11	1	NA
tar	14.28571429	78.57142857	7.142857143	NA	2	11	1	NA
tas	NA	100	NA	NA	NA	6	NA	NA
tat	NA	100	NA	NA	NA	2	NA	NA
tav	NA	60	40	NA	NA	6	4	NA
tax	NA	100	NA	NA	NA	1	NA	NA
taz	NA	100	NA	NA	NA	5	NA	NA
tea	NA	100	NA	NA	NA	6	NA	NA
tec	NA	22.22222222	77.77777778	NA	NA	2	7	NA
ted	NA	100	NA	NA	NA	4	NA	NA
teg	NA	50	50	NA	NA	2	2	NA
tel	3.03030303	69.6969697	24.24242424	3.03030303	1	23	8	1
tem	3.571428571	89.28571429	7.142857143	NA	1	25	2	NA
ten	6.542056075	64.48598131	27.10280374	1.869158879	7	69	29	2
teo	NA	100	NA	NA	NA	2	NA	NA
tep	NA	100	NA	NA	NA	2	NA	NA
ter	2.127659574	78.72340426	17.0212766	2.127659574	1	37	8	1
tes	NA	93.10344828	6.896551724	NA	NA	27	2	NA
tet	NA	100	NA	NA	NA	2	NA	NA
tic	NA	100	NA	NA	NA	1	NA	NA
tie	NA	NA	100	NA	NA	NA	4	NA
tif	NA	100	NA	NA	NA	6	NA	NA
tig	NA	100	NA	NA	NA	5	NA	NA
tim	NA	54.54545455	45.45454545	NA	NA	6	5	NA
tin	NA	100	NA	NA	NA	4	NA	NA
tip	NA	42.85714286	57.14285714	NA	NA	3	4	NA
tir	8.571428571	60	31.42857143	NA	3	21	11	NA
tit	NA	NA	100	NA	NA	NA	2	NA
toc	10.34482759	65.51724138	24.13793103	NA	3	19	7	NA
tog	3.03030303	45.45454545	48.48484848	3.03030303	1	15	16	1
tom	NA	66.66666667	33.33333333	NA	NA	2	1	NA
ton	NA	100	NA	NA	NA	10	NA	NA
top	NA	100	NA	NA	NA	12	NA	NA
tor	9.259259259	74.07407407	16.66666667	NA	5	40	9	NA
tos	16.66666667	50	33.33333333	NA	1	3	2	NA
tot	NA	100	NA	NA	NA	3	NA	NA
toz	NA	100	NA	NA	NA	2	NA	NA
tra	6.808510638	73.61702128	19.57446809	NA	16	173	46	NA
tre	3.333333333	86.66666667	10	NA	1	26	3	NA
tri	5.882352941	82.35294118	11.76470588	NA	1	14	2	NA
tro	5.633802817	74.64788732	19.71830986	NA	4	53	14	NA
tru	NA	100	NA	NA	NA	7	NA	NA
tsk	NA	100	NA	NA	NA	1	NA	NA
tub	NA	100	NA	NA	NA	4	NA	NA
tuf	11.76470588	58.82352941	29.41176471	NA	2	10	5	NA
tul	NA	100	NA	NA	NA	3	NA	NA
tum	NA	100	NA	NA	NA	3	NA	NA
tun	NA	100	NA	NA	NA	1	NA	NA
tuo	NA	100	NA	NA	NA	8	NA	NA
tur	NA	80.95238095	19.04761905	NA	NA	17	4	NA
tut	10	90	NA	NA	1	9	NA	NA
uac	NA	100	NA	NA	NA	1	NA	NA
uao	NA	100	NA	NA	NA	1	NA	NA
uau	NA	100	NA	NA	NA	1	NA	NA
ubb	NA	83.33333333	16.66666667	NA	NA	10	2	NA
ubr	NA	100	NA	NA	NA	3	NA	NA
ucc	8	48	44	NA	2	12	11	NA
udi	6.666666667	73.33333333	20	NA	1	11	3	NA
uff	NA	100	NA	NA	NA	6	NA	NA
ugh	NA	100	NA	NA	NA	1	NA	NA
ugu	25	75	NA	NA	1	3	NA	NA
uli	NA	100	NA	NA	NA	2	NA	NA
ult	NA	33.33333333	66.66666667	NA	NA	2	4	NA
ulu	NA	50	50	NA	NA	2	2	NA
uma	20	80	NA	NA	1	4	NA	NA
umi	14.28571429	NA	85.71428571	NA	1	NA	6	NA
umo	33.33333333	66.66666667	NA	NA	1	2	NA	NA
un'	100	NA	NA	NA	1	NA	NA	NA
und	NA	NA	100	NA	NA	NA	1	NA
ung	NA	100	NA	NA	NA	2	NA	NA
uni	6.451612903	61.29032258	32.25806452	NA	2	19	10	NA
uno	NA	100	NA	NA	NA	4	NA	NA
uom	NA	75	25	NA	NA	3	1	NA
uov	NA	100	NA	NA	NA	3	NA	NA
ura	NA	100	NA	NA	NA	3	NA	NA
urb	NA	100	NA	NA	NA	3	NA	NA
urg	NA	100	NA	NA	NA	2	NA	NA
url	10	90	NA	NA	1	9	NA	NA
urr	100	NA	NA	NA	1	NA	NA	NA
urt	12.5	62.5	25	NA	1	5	2	NA
usa	9.677419355	67.74193548	22.58064516	NA	3	21	7	NA
usc	11.11111111	74.07407407	14.81481481	NA	3	20	4	NA
usi	50	50	NA	NA	1	1	NA	NA
uso	NA	100	NA	NA	NA	2	NA	NA
uti	11.11111111	50	38.88888889	NA	2	9	7	NA
uva	NA	100	NA	NA	NA	1	NA	NA
vac	NA	100	NA	NA	NA	4	NA	NA
vag	NA	66.66666667	33.33333333	NA	NA	6	3	NA
val	3.333333333	73.33333333	23.33333333	NA	1	22	7	NA
van	NA	90	10	NA	NA	9	1	NA
vap	25	75	NA	NA	1	3	NA	NA
var	11.11111111	66.66666667	22.22222222	NA	1	6	2	NA
vas	NA	92.85714286	7.142857143	NA	NA	13	1	NA
vec	NA	85.71428571	14.28571429	NA	NA	12	2	NA
ved	5.263157895	71.92982456	22.80701754	NA	3	41	13	NA
veg	9.090909091	72.72727273	18.18181818	NA	1	8	2	NA
vei	NA	NA	100	NA	NA	NA	2	NA
vel	4.347826087	78.26086957	17.39130435	NA	1	18	4	NA
ven	9.473684211	69.47368421	20	1.052631579	9	66	19	1
ver	4.761904762	79.36507937	12.6984127	3.174603175	3	50	8	2
VER	NA	80	20	NA	NA	4	1	NA
ves	4.347826087	82.60869565	13.04347826	NA	1	19	3	NA
vet	NA	100	NA	NA	NA	9	NA	NA
via	8.695652174	78.26086957	13.04347826	NA	2	18	3	NA
vic	NA	87.5	12.5	NA	NA	14	2	NA
vid	NA	50	50	NA	NA	1	1	NA
vie	NA	60	40	NA	NA	3	2	NA
vig	NA	75	25	NA	NA	6	2	NA
vil	NA	100	NA	NA	NA	7	NA	NA
vim	NA	NA	100	NA	NA	NA	1	NA
vin	6.451612903	77.41935484	16.12903226	NA	2	24	5	NA
vio	NA	92.85714286	7.142857143	NA	NA	13	1	NA
vip	NA	NA	100	NA	NA	NA	2	NA
vir	NA	NA	100	NA	NA	NA	2	NA
vis	4	76	20	NA	1	19	5	NA
vit	6.25	81.25	12.5	NA	1	13	2	NA
viv	4.87804878	56.09756098	39.02439024	NA	2	23	16	NA
viz	NA	100	NA	NA	NA	4	NA	NA
voc	NA	81.81818182	18.18181818	NA	NA	9	2	NA
vog	NA	100	NA	NA	NA	1	NA	NA
voi	NA	100	NA	NA	NA	1	NA	NA
vol	6.862745098	72.54901961	20.58823529	NA	7	74	21	NA
vos	NA	100	NA	NA	NA	4	NA	NA
vot	14.28571429	85.71428571	NA	NA	1	6	NA	NA
vul	NA	33.33333333	66.66666667	NA	NA	2	4	NA
vuo	10	80	10	NA	1	8	1	NA
zai	NA	100	NA	NA	NA	2	NA	NA
zam	12.5	87.5	NA	NA	1	7	NA	NA
zan	NA	100	NA	NA	NA	2	NA	NA
zap	NA	100	NA	NA	NA	1	NA	NA
zeb	NA	100	NA	NA	NA	2	NA	NA
zer	NA	100	NA	NA	NA	1	NA	NA
zin	NA	NA	100	NA	NA	NA	3	NA
zio	NA	100	NA	NA	NA	5	NA	NA
zit	NA	100	NA	NA	NA	3	NA	NA
zoc	NA	NA	100	NA	NA	NA	2	NA
zon	NA	100	NA	NA	NA	2	NA	NA
zoo	NA	33.33333333	66.66666667	NA	NA	1	2	NA
zuc	NA	50	50	NA	NA	2	2	NA
zup	NA	100	NA	NA	NA	2	NA	NA
