ending	B_%PULT_Tk	C_%PULT_Tk	G_%PULT_Tk	G_%APULT_Tk	I_%PULT_Tk	N_%PULT_Tk	P_%PULT_Tk	S_%PULT_Tk	S_%APULT_Tk	V_%PULT_Tk	V_%APULT_Tk	V_%PAPULT_Tk	B_nPULT_Tk	C_nPULT_Tk	G_nPULT_Tk	G_nAPULT_Tk	I_nPULT_Tk	N_nPULT_Tk	P_nPULT_Tk	S_nPULT_Tk	S_nAPULT_Tk	V_nPULT_Tk	V_nAPULT_Tk	V_nPAPULT_Tk
cco	100	NA	100	0	100	NA	NA	100	0	100	0	0	308	NA	71	0	171	NA	NA	343	0	6	0	0
che	100	100	76.44683715	23.55316285	NA	NA	NA	71.83908046	28.16091954	NA	NA	NA	75	1407	568	175	NA	NA	NA	250	98	NA	NA	NA
chi	NA	NA	97.25085911	2.749140893	NA	100	NA	99.46808511	0.531914894	76.59574468	23.40425532	0	NA	NA	283	8	NA	12	NA	748	4	36	11	0
cli	NA	NA	NA	NA	NA	NA	NA	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0	NA	NA	NA
clo	NA	NA	NA	NA	NA	NA	NA	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	0	NA	NA	NA
cra	NA	NA	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	0	NA	NA	NA	NA	NA	NA	NA	NA
cre	NA	NA	100	0	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	0	12	NA	NA	NA	NA	NA	NA	NA
cri	NA	NA	100	0	NA	NA	NA	100	0	NA	NA	NA	NA	NA	4	0	NA	NA	NA	1	0	NA	NA	NA
cro	NA	NA	100	0	NA	NA	NA	100	0	NA	NA	NA	NA	NA	9	0	NA	NA	NA	12	0	NA	NA	NA
dda	NA	NA	100	0	NA	NA	NA	NA	NA	100	0	0	NA	NA	24	0	NA	NA	NA	NA	NA	1	0	0
dde	NA	NA	100	0	NA	NA	NA	NA	NA	100	0	0	NA	NA	10	0	NA	NA	NA	NA	NA	52	0	0
ddi	NA	NA	100	0	NA	NA	NA	NA	NA	100	0	0	NA	NA	4	0	NA	NA	NA	NA	NA	2	0	0
ddo	NA	NA	100	0	NA	NA	NA	100	0	NA	NA	NA	NA	NA	28	0	NA	NA	NA	81	0	NA	NA	NA
dra	NA	NA	100	0	NA	NA	NA	88.52459016	11.47540984	NA	NA	NA	NA	NA	2	0	NA	NA	NA	54	7	NA	NA	NA
dre	NA	NA	100	0	NA	NA	NA	100	0	NA	NA	NA	NA	NA	2	0	NA	NA	NA	320	0	NA	NA	NA
dri	NA	NA	100	0	NA	NA	NA	100	0	NA	NA	NA	NA	NA	1	0	NA	NA	NA	50	0	NA	NA	NA
dro	NA	NA	100	0	NA	NA	NA	100	0	NA	NA	NA	NA	NA	2	0	NA	NA	NA	103	0	NA	NA	NA
ffa	NA	NA	100	0	100	NA	NA	100	0	100	0	0	NA	NA	7	0	35	NA	NA	30	0	6	0	0
ffe	NA	NA	100	0	NA	NA	NA	100	0	NA	NA	NA	NA	NA	3	0	NA	NA	NA	6	0	NA	NA	NA
ffi	NA	NA	100	0	NA	NA	NA	100	0	100	0	0	NA	NA	2	0	NA	NA	NA	32	0	2	0	0
ffo	NA	NA	100	0	NA	NA	NA	100	0	100	0	0	NA	NA	13	0	NA	NA	NA	24	0	1	0	0
fra	NA	NA	NA	NA	NA	NA	NA	100	0	100	0	0	NA	NA	NA	NA	NA	NA	NA	13	0	2	0	0
fre	NA	NA	NA	NA	NA	NA	NA	100	0	100	0	0	NA	NA	NA	NA	NA	NA	NA	12	0	27	0	0
fri	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0	0
fro	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	8	0	0
gga	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	8	0	0
gge	NA	NA	100	0	NA	NA	NA	100	0	100	0	0	NA	NA	6	0	NA	NA	NA	57	0	58	0	0
ggi	100	NA	100	0	NA	NA	NA	100	0	100	0	0	275	NA	4	0	NA	NA	NA	223	0	54	0	0
ggo	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	0	0
ghe	NA	NA	100	0	NA	NA	NA	100	0	NA	NA	NA	NA	NA	57	0	NA	NA	NA	103	0	NA	NA	NA
ghi	NA	NA	100	0	NA	NA	NA	94.92753623	5.072463768	95.83333333	4.166666667	0	NA	NA	53	0	NA	NA	NA	131	7	23	1	0
gla	NA	NA	NA	NA	NA	NA	NA	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	32	0	NA	NA	NA
gle	NA	NA	NA	NA	NA	NA	NA	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	0	NA	NA	NA
gli	NA	NA	100	0	NA	100	NA	100	0	74.23580786	25.32751092	0.436681223	NA	NA	8	0	NA	180	NA	183	0	170	58	1
gma	NA	NA	NA	NA	NA	NA	NA	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11	0	NA	NA	NA
gmi	NA	NA	NA	NA	NA	NA	NA	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	18	0	NA	NA	NA
gna	NA	NA	100	0	NA	NA	NA	100	0	100	0	0	NA	NA	7	0	NA	NA	NA	312	0	220	0	0
gne	NA	NA	100	0	NA	NA	NA	100	0	100	0	0	NA	NA	2	0	NA	NA	NA	102	0	4	0	0
gni	NA	NA	100	0	NA	NA	NA	100	0	100	0	0	NA	NA	598	0	NA	NA	NA	242	0	12	0	0
gno	NA	NA	100	0	NA	NA	NA	100	0	100	0	0	NA	NA	12	0	NA	NA	NA	697	0	28	0	0
gra	NA	NA	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	36	0	NA	NA	NA	NA	NA	NA	NA	NA
gre	NA	NA	100	0	NA	NA	NA	100	0	NA	NA	NA	NA	NA	15	0	NA	NA	NA	47	0	NA	NA	NA
gri	NA	NA	100	0	NA	NA	NA	100	0	NA	NA	NA	NA	NA	15	0	NA	NA	NA	13	0	NA	NA	NA
gro	NA	NA	100	0	NA	NA	NA	100	0	NA	NA	NA	NA	NA	48	0	NA	NA	NA	4	0	NA	NA	NA
lba	NA	NA	NA	NA	NA	NA	NA	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	48	0	NA	NA	NA
lca	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	0	0
lce	NA	NA	100	0	NA	NA	NA	100	0	NA	NA	NA	NA	NA	61	0	NA	NA	NA	24	0	NA	NA	NA
lci	NA	NA	100	0	NA	NA	NA	100	0	NA	NA	NA	NA	NA	19	0	NA	NA	NA	29	0	NA	NA	NA
lco	NA	NA	NA	NA	NA	NA	NA	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10	0	NA	NA	NA
lda	NA	NA	100	0	NA	NA	NA	NA	NA	100	0	0	NA	NA	32	0	NA	NA	NA	NA	NA	5	0	0
lde	NA	NA	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	15	0	NA	NA	NA	NA	NA	NA	NA	NA
ldi	NA	NA	100	0	NA	NA	NA	100	0	100	0	0	NA	NA	12	0	NA	NA	NA	81	0	2	0	0
ldo	NA	NA	100	0	NA	NA	NA	100	0	100	0	0	NA	NA	43	0	NA	NA	NA	46	0	2	0	0
lfi	NA	NA	NA	NA	NA	NA	NA	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0	NA	NA	NA
lfo	NA	NA	NA	NA	NA	NA	NA	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	12	0	NA	NA	NA
lga	NA	NA	NA	NA	NA	NA	NA	100	0	100	0	0	NA	NA	NA	NA	NA	NA	NA	4	0	3	0	0
lge	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	30	0	0
lgi	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0	0
lgo	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	9	0	0
lla	NA	NA	100	0	NA	NA	100	100	0	100	0	0	NA	NA	314	0	NA	NA	2	818	0	68	0	0
lle	NA	NA	100	0	NA	NA	100	100	0	100	0	0	NA	NA	196	0	NA	NA	1	467	0	43	0	0
lli	NA	NA	100	0	NA	NA	NA	100	0	100	0	0	NA	NA	73	0	NA	NA	NA	691	0	4	0	0
llo	NA	NA	100	0	NA	100	NA	100	0	100	0	0	NA	NA	207	0	NA	470	NA	1166	0	12	0	0
lma	NA	NA	100	0	100	NA	NA	100	0	100	0	0	NA	NA	4	0	3	NA	NA	53	0	2	0	0
lme	NA	NA	100	0	NA	NA	NA	100	0	NA	NA	NA	NA	NA	2	0	NA	NA	NA	15	0	NA	NA	NA
lmi	NA	NA	100	0	NA	NA	NA	100	0	100	0	0	NA	NA	7	0	NA	NA	NA	4	0	2	0	0
lmo	NA	NA	100	0	NA	NA	NA	100	0	100	0	0	NA	NA	14	0	NA	NA	NA	22	0	1	0	0
lpa	NA	NA	NA	NA	NA	NA	NA	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	52	0	NA	NA	NA
lpe	NA	NA	NA	NA	NA	NA	NA	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	56	0	NA	NA	NA
lpi	NA	NA	NA	NA	NA	NA	NA	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	30	0	NA	NA	NA
lpo	NA	NA	NA	NA	NA	NA	NA	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	90	0	NA	NA	NA
lsa	NA	NA	100	0	NA	NA	NA	100	0	100	0	0	NA	NA	5	0	NA	NA	NA	8	0	1	0	0
lse	NA	NA	100	0	NA	NA	NA	NA	NA	100	0	0	NA	NA	5	0	NA	NA	NA	NA	NA	49	0	0
lsi	NA	NA	100	0	NA	NA	NA	100	0	100	0	0	NA	NA	7	0	NA	NA	NA	2	0	4	0	0
LSO	NA	NA	100	0	NA	NA	NA	100	0	NA	NA	NA	NA	NA	8	0	NA	NA	NA	10	0	NA	NA	NA
lso	NA	NA	NA	NA	NA	NA	NA	100	0	100	0	0	NA	NA	NA	NA	NA	NA	NA	23	0	2	0	0
lta	100	NA	100	0	NA	100	NA	100	0	100	0	0	63	NA	171	0	NA	1	NA	500	0	92	0	0
lte	100	NA	100	0	NA	100	NA	100	0	100	0	0	2	NA	155	0	NA	2	NA	213	0	8	0	0
lti	100	NA	100	0	NA	100	NA	100	0	100	0	0	10	NA	209	0	NA	23	NA	25	0	37	0	0
lto	100	NA	100	0	NA	100	NA	100	0	100	0	0	402	NA	513	0	NA	2	NA	113	0	104	0	0
lva	NA	NA	100	0	NA	NA	NA	100	0	100	0	0	NA	NA	7	0	NA	NA	NA	7	0	4	0	0
lve	NA	NA	100	0	100	NA	NA	100	0	100	0	0	NA	NA	2	0	49	NA	NA	4	0	1	0	0
lvi	NA	NA	100	0	NA	NA	NA	NA	NA	100	0	0	NA	NA	13	0	NA	NA	NA	NA	NA	9	0	0
lvo	NA	NA	100	0	NA	NA	NA	100	0	100	0	0	NA	NA	21	0	NA	NA	NA	12	0	2	0	0
lza	NA	NA	NA	NA	NA	NA	NA	100	0	100	0	0	NA	NA	NA	NA	NA	NA	NA	3	0	38	0	0
lze	NA	NA	NA	NA	NA	NA	NA	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	25	0	NA	NA	NA
lzi	NA	NA	NA	NA	NA	NA	NA	100	0	100	0	0	NA	NA	NA	NA	NA	NA	NA	4	0	5	0	0
lzo	NA	NA	NA	NA	NA	NA	NA	100	0	100	0	0	NA	NA	NA	NA	NA	NA	NA	6	0	6	0	0
mba	NA	NA	NA	NA	NA	NA	NA	100	0	100	0	0	NA	NA	NA	NA	NA	NA	NA	163	0	4	0	0
mbe	NA	NA	100	0	NA	100	NA	100	0	NA	NA	NA	NA	NA	3	0	NA	7	NA	101	0	NA	NA	NA
mbi	NA	NA	100	0	NA	100	NA	100	0	100	0	0	NA	NA	3	0	NA	10	NA	38	0	6	0	0
mbo	NA	NA	NA	NA	NA	NA	NA	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	76	0	NA	NA	NA
mma	100	NA	NA	NA	100	NA	NA	100	0	NA	NA	NA	62	NA	NA	NA	11	NA	NA	555	0	NA	NA	NA
mme	NA	NA	NA	NA	NA	NA	NA	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	54	0	NA	NA	NA
mmi	NA	NA	NA	NA	NA	NA	NA	100	0	100	0	0	NA	NA	NA	NA	NA	NA	NA	45	0	54	0	0
mmo	NA	NA	NA	NA	NA	NA	NA	100	0	100	0	0	NA	NA	NA	NA	NA	NA	NA	21	0	186	0	0
mpa	NA	NA	NA	NA	NA	NA	NA	100	0	100	0	0	NA	NA	NA	NA	NA	NA	NA	27	0	7	0	0
mpe	NA	NA	NA	NA	NA	NA	NA	100	0	100	0	0	NA	NA	NA	NA	NA	NA	NA	34	0	8	0	0
mpi	NA	NA	100	0	NA	NA	NA	100	0	100	0	0	NA	NA	7	0	NA	NA	NA	181	0	10	0	0
mpo	NA	NA	NA	NA	NA	NA	NA	100	0	100	0	0	NA	NA	NA	NA	NA	NA	NA	689	0	2	0	0
nca	NA	NA	100	0	NA	NA	NA	100	0	100	0	0	NA	NA	87	0	NA	NA	NA	43	0	60	0	0
nce	NA	NA	NA	NA	NA	NA	NA	100	0	100	0	0	NA	NA	NA	NA	NA	NA	NA	41	0	18	0	0
nci	NA	NA	NA	NA	NA	NA	NA	100	0	100	0	0	NA	NA	NA	NA	NA	NA	NA	1	0	16	0	0
nco	NA	NA	100	0	NA	NA	NA	100	0	100	0	0	NA	NA	133	0	NA	NA	NA	159	0	4	0	0
nda	NA	NA	100	0	NA	NA	NA	100	0	100	0	0	NA	NA	129	0	NA	NA	NA	270	0	78	0	0
nde	NA	NA	100	0	NA	NA	NA	100	0	100	0	0	NA	NA	633	0	NA	NA	NA	185	0	338	0	0
ndi	100	100	100	0	NA	NA	NA	100	0	100	0	0	49	95	294	0	NA	NA	NA	75	0	155	0	0
ndo	100	100	100	0	NA	NA	100	100	0	100	0	0	1031	1032	133	0	NA	NA	112	563	0	1895	0	0
nfa	NA	NA	NA	NA	NA	NA	NA	100	0	100	0	0	NA	NA	NA	NA	NA	NA	NA	5	0	4	0	0
nfe	NA	NA	NA	NA	NA	NA	NA	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	0	NA	NA	NA
nfi	NA	NA	NA	NA	NA	NA	NA	100	0	100	0	0	NA	NA	NA	NA	NA	NA	NA	4	0	7	0	0
nfo	NA	NA	NA	NA	NA	NA	NA	100	0	100	0	0	NA	NA	NA	NA	NA	NA	NA	13	0	10	0	0
nga	100	NA	100	0	NA	NA	NA	100	0	100	0	0	5	NA	101	0	NA	NA	NA	14	0	45	0	0
nge	NA	NA	NA	NA	NA	NA	NA	100	0	100	0	0	NA	NA	NA	NA	NA	NA	NA	12	0	91	0	0
ngi	NA	NA	NA	NA	NA	NA	NA	100	0	100	0	0	NA	NA	NA	NA	NA	NA	NA	1	0	34	0	0
ngo	100	NA	100	0	NA	NA	100	100	0	100	0	0	66	NA	220	0	NA	NA	3	40	0	83	0	0
nna	NA	NA	NA	NA	NA	NA	NA	100	0	100	0	0	NA	NA	NA	NA	NA	NA	NA	445	0	7	0	0
nne	NA	NA	100	0	NA	NA	100	100	0	100	0	0	NA	NA	7	0	NA	NA	12	161	0	154	0	0
nni	NA	NA	100	0	NA	NA	NA	100	0	100	0	0	NA	NA	3	0	NA	NA	NA	606	0	5	0	0
nno	NA	NA	NA	NA	NA	NA	NA	100	0	100	0	0	NA	NA	NA	NA	NA	NA	NA	537	0	1412	0	0
nsa	NA	NA	100	0	NA	NA	NA	100	0	100	0	0	NA	NA	26	0	NA	NA	NA	15	0	68	0	0
nse	NA	NA	100	0	NA	NA	NA	100	0	100	0	0	NA	NA	14	0	NA	NA	NA	4	0	117	0	0
nsi	NA	NA	100	0	NA	NA	NA	100	0	100	0	0	NA	NA	8	0	NA	NA	NA	12	0	42	0	0
nso	NA	NA	100	0	NA	NA	NA	100	0	100	0	0	NA	NA	28	0	NA	NA	NA	65	0	78	0	0
nta	NA	NA	100	0	NA	100	NA	100	0	100	0	0	NA	NA	258	0	NA	2	NA	173	0	313	0	0
nte	100	100	100	0	NA	100	100	100	0	100	0	0	1450	10	966	0	NA	320	151	1450	0	146	0	0
nti	100	NA	100	0	100	100	100	100	0	100	0	0	322	NA	871	0	50	26	8	1108	0	159	0	0
nto	100	100	100	0	100	100	NA	100	0	100	0	0	812	28	588	0	31	122	NA	1723	0	238	0	0
nza	100	NA	NA	NA	NA	NA	100	100	0	100	0	0	69	NA	NA	NA	NA	NA	462	823	0	24	0	0
nze	NA	NA	NA	NA	NA	NA	NA	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	282	0	NA	NA	NA
nzi	100	100	NA	NA	NA	NA	100	100	0	100	0	0	9	86	NA	NA	NA	NA	11	16	0	1	0	0
nzo	NA	NA	NA	NA	NA	NA	NA	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	59	0	NA	NA	NA
pla	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	0	0
pli	NA	NA	NA	NA	NA	NA	NA	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7	0	NA	NA	NA
ppa	100	NA	100	0	NA	NA	NA	100	0	100	0	0	2	NA	7	0	NA	NA	NA	94	0	45	0	0
ppe	100	NA	100	0	NA	100	NA	100	0	100	0	0	2	NA	8	0	NA	1	NA	33	0	25	0	0
ppi	NA	NA	100	0	NA	100	NA	100	0	100	0	0	NA	NA	3	0	NA	5	NA	65	0	19	0	0
ppo	100	NA	100	0	NA	100	NA	100	0	100	0	0	207	NA	102	0	NA	6	NA	118	0	6	0	0
pra	100	NA	100	0	NA	NA	100	100	0	100	0	0	64	NA	2	0	NA	NA	105	6	0	7	0	0
pre	100	NA	100	0	NA	NA	NA	100	0	100	0	0	649	NA	1	0	NA	NA	NA	38	0	41	0	0
pri	100	NA	100	0	NA	100	NA	100	0	100	0	0	1	NA	17	0	NA	1	NA	8	0	32	0	0
pro	NA	NA	100	0	NA	NA	NA	NA	NA	100	0	0	NA	NA	4	0	NA	NA	NA	NA	NA	14	0	0
rba	NA	NA	100	0	NA	NA	NA	100	0	100	0	0	NA	NA	6	0	NA	NA	NA	166	0	4	0	0
rbe	NA	NA	100	0	NA	NA	NA	100	0	100	0	0	NA	NA	1	0	NA	NA	NA	25	0	7	0	0
rbi	NA	NA	100	0	NA	NA	NA	100	0	100	0	0	NA	NA	4	0	NA	NA	NA	41	0	2	0	0
rbo	NA	NA	100	0	NA	NA	NA	100	0	NA	NA	NA	NA	NA	11	0	NA	NA	NA	53	0	NA	NA	NA
rca	100	NA	100	0	NA	NA	100	100	0	100	0	0	110	NA	6	0	NA	NA	10	120	0	72	0	0
rce	NA	NA	NA	NA	NA	NA	NA	100	0	100	0	0	NA	NA	NA	NA	NA	NA	NA	29	0	2	0	0
rci	NA	NA	NA	NA	NA	NA	NA	100	0	75	25	0	NA	NA	NA	NA	NA	NA	NA	56	0	237	79	0
rco	NA	NA	100	0	NA	NA	NA	100	0	100	0	0	NA	NA	13	0	NA	NA	NA	150	0	14	0	0
rda	NA	NA	100	0	NA	NA	NA	100	0	100	0	0	NA	NA	16	0	NA	NA	NA	66	0	252	0	0
rde	NA	NA	100	0	NA	NA	NA	100	0	100	0	0	NA	NA	125	0	NA	NA	NA	46	0	33	0	0
rdi	100	NA	100	0	NA	NA	NA	100	0	100	0	0	159	NA	37	0	NA	NA	NA	86	0	53	0	0
rdo	100	NA	100	0	100	NA	NA	100	0	100	0	0	6	NA	27	0	1	NA	NA	290	0	45	0	0
rga	NA	NA	100	0	NA	NA	NA	100	0	100	0	0	NA	NA	20	0	NA	NA	NA	16	0	5	0	0
rge	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	34	0	0
rgi	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	0	0
rgo	NA	NA	100	0	NA	NA	NA	100	0	100	0	0	NA	NA	40	0	NA	NA	NA	36	0	2	0	0
rla	NA	NA	NA	NA	NA	NA	NA	75	25	88.31168831	11.68831169	0	NA	NA	NA	NA	NA	NA	NA	9	3	340	45	0
rle	NA	NA	NA	NA	NA	NA	NA	70	30	82.60869565	17.39130435	0	NA	NA	NA	NA	NA	NA	NA	7	3	114	24	0
rli	NA	NA	NA	NA	NA	NA	NA	75	25	76	24	0	NA	NA	NA	NA	NA	NA	NA	6	2	133	42	0
rlo	NA	NA	NA	NA	NA	NA	NA	78.94736842	21.05263158	86.12612613	13.87387387	0	NA	NA	NA	NA	NA	NA	NA	30	8	478	77	0
rma	NA	NA	100	0	NA	NA	NA	100	0	100	0	0	NA	NA	11	0	NA	NA	NA	158	0	76	0	0
rme	NA	NA	100	0	NA	NA	NA	100	0	100	0	0	NA	NA	64	0	NA	NA	NA	116	0	17	0	0
rmi	NA	NA	100	0	NA	NA	NA	100	0	86.13861386	13.86138614	0	NA	NA	44	0	NA	NA	NA	64	0	348	56	0
rmo	NA	NA	100	0	100	NA	NA	100	0	100	0	0	NA	NA	46	0	2	NA	NA	20	0	13	0	0
rna	NA	NA	100	0	NA	NA	NA	100	0	100	0	0	NA	NA	48	0	NA	NA	NA	32	0	99	0	0
rne	NA	NA	100	0	NA	NA	NA	100	0	89.90825688	10.09174312	0	NA	NA	21	0	NA	NA	NA	67	0	98	11	0
rni	100	NA	100	0	NA	NA	NA	100	0	100	0	0	1	NA	22	0	NA	NA	NA	248	0	14	0	0
rno	100	NA	100	0	100	NA	NA	100	0	100	0	0	216	NA	42	0	28	NA	NA	958	0	21	0	0
rpa	NA	NA	NA	NA	NA	NA	NA	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	13	0	NA	NA	NA
rpe	NA	NA	NA	NA	NA	NA	NA	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	47	0	NA	NA	NA
rpi	NA	NA	NA	NA	NA	NA	NA	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	32	0	NA	NA	NA
rpo	NA	NA	NA	NA	NA	NA	NA	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	135	0	NA	NA	NA
rra	NA	NA	100	0	NA	NA	NA	100	0	100	0	0	NA	NA	19	0	NA	NA	NA	609	0	19	0	0
rre	NA	NA	100	0	NA	NA	NA	100	0	100	0	0	NA	NA	9	0	NA	NA	NA	92	0	200	0	0
rri	NA	NA	100	0	NA	NA	NA	100	0	100	0	0	NA	NA	16	0	NA	NA	NA	32	0	31	0	0
rro	NA	NA	100	0	NA	NA	NA	100	0	100	0	0	NA	NA	54	0	NA	NA	NA	111	0	19	0	0
rsa	100	100	100	0	NA	NA	NA	100	0	100	0	0	7	1	65	0	NA	NA	NA	122	0	47	0	0
rse	100	NA	100	0	NA	NA	NA	100	0	100	0	0	342	NA	97	0	NA	NA	NA	21	0	157	0	0
rsi	NA	NA	100	0	NA	NA	NA	100	0	78.24561404	21.75438596	0	NA	NA	103	0	NA	NA	NA	56	0	669	186	0
rso	NA	NA	100	0	NA	NA	100	100	0	100	0	0	NA	NA	91	0	NA	NA	375	244	0	109	0	0
rta	NA	NA	100	0	NA	NA	NA	100	0	100	0	0	NA	NA	141	0	NA	NA	NA	435	0	180	0	0
rte	100	NA	100	0	NA	NA	NA	100	0	100	0	0	70	NA	142	0	NA	NA	NA	674	0	61	0	0
rti	NA	NA	100	0	NA	NA	NA	100	0	84.87179487	15.12820513	0	NA	NA	117	0	NA	NA	NA	222	0	331	59	0
rto	100	NA	100	0	NA	NA	NA	100	0	100	0	0	3	NA	474	0	NA	NA	NA	253	0	174	0	0
rva	NA	NA	NA	NA	NA	NA	NA	100	0	100	0	0	NA	NA	NA	NA	NA	NA	NA	19	0	107	0	0
rve	NA	NA	NA	NA	NA	NA	NA	100	0	100	0	0	NA	NA	NA	NA	NA	NA	NA	14	0	128	0	0
rvi	NA	NA	NA	NA	NA	NA	NA	100	0	80.59701493	19.40298507	0	NA	NA	NA	NA	NA	NA	NA	45	0	162	39	0
rvo	NA	NA	100	0	NA	NA	NA	100	0	100	0	0	NA	NA	1	0	NA	NA	NA	43	0	2	0	0
rza	NA	NA	100	0	100	NA	NA	100	0	100	0	0	NA	NA	33	0	60	NA	NA	145	0	5	0	0
rze	NA	NA	NA	NA	NA	NA	NA	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	29	0	NA	NA	NA
rzi	NA	NA	100	0	NA	NA	NA	100	0	100	0	0	NA	NA	3	0	NA	NA	NA	38	0	2	0	0
rzo	NA	NA	100	0	NA	NA	NA	100	0	100	0	0	NA	NA	53	0	NA	NA	NA	98	0	1	0	0
sca	NA	NA	100	0	NA	NA	NA	100	0	100	0	0	NA	NA	44	0	NA	NA	NA	147	0	43	0	0
